item1,item2,value1,value2,value3,value4,value5,value6,value7
111年 2月,連江縣,    ...,17.2,24.5,1.46,0.26,4.39,51.59
111年 2月,金門縣,45.1,18.1,23.8,1.63,0.3,6.78,51.93
111年 2月,嘉義市,43.6,23.8,36.6,2.61,0.34,12.93,48.06
111年 2月,新竹市,7.9,10.7,16.9,0.95,0.31,10.61,46.1
111年 2月,基隆市,31.1,7.2,16.4,0.85,0.35,7.7,47
111年 2月,澎湖縣,    ...,11.1,25.5,0.81,0.23,3.01,54.1
111年 2月,花蓮縣,12.7,5.4,13.4,0.71,0.27,5.87,47.95
111年 2月,臺東縣,12.4,4.2,14.5,1.38,0.24,4.32,46.38
111年 2月,屏東縣,91.7,16.1,30.3,1.43,0.3,8.09,60.76
111年 2月,嘉義縣,43.5,17.6,32.4,1.29,0.31,8.27,45.09
111年 2月,雲林縣,28.2,22.1,32.9,1.42,0.35,9.04,47.71
111年 2月,南投縣,19.8,15.8,26.2,1.4,0.3,12.61,48.84
111年 2月,彰化縣,34.5,13.8,28.2,1.46,0.31,10.63,47.18
111年 2月,苗栗縣,17.4,10.1,15.1,1.33,0.25,7.57,44.77
111年 2月,新竹縣,24.5,8.1,15.6,0.81,0.23,6.45,45.9
111年 2月,宜蘭縣,13.2,5.1,10.9,0.7,0.23,5.15,46.65
111年 2月,高雄市,85.3,25.3,42.1,1.93,0.39,16.33,54.1
111年 2月,臺南市,61.6,22.2,34.7,1.32,0.32,11.14,50.88
111年 2月,臺中市,47.8,10.9,20.3,1.33,0.31,10.87,43.87
111年 2月,桃園市,20.8,10.4,15.7,1.26,0.3,11.23,46.02
111年 2月,臺北市,26.5,5.5,15,0.9,0.36,15.43,45.68
111年 2月,新北市,18.7,8.4,16.5,0.84,0.32,11.21,46.62
111年 2月,總計,33.6,13,24.1,1.26,0.31,10.86,48.59
111年 1月,連江縣,    ...,26.3,35.8,1.54,0.32,6.56,51.01
111年 1月,金門縣,51,25.7,40.7,2.32,0.35,10.13,55.78
111年 1月,嘉義市,45.7,30.2,45.4,2.95,0.4,15.76,49.15
111年 1月,新竹市,19.3,14.8,22.5,1.2,0.34,13.05,42.32
111年 1月,基隆市,51.2,10.4,21,0.87,0.37,9.01,43.88
111年 1月,澎湖縣,    ...,12.8,26.4,0.75,0.25,2.97,52.47
111年 1月,花蓮縣,14.4,6.8,14.4,0.82,0.31,7.92,44.88
111年 1月,臺東縣,25.6,4.7,13.6,1.34,0.26,4.57,42.84
111年 1月,屏東縣,67.8,17.1,37.6,1.55,0.33,9.11,60.91
111年 1月,嘉義縣,45.2,24.1,39.4,1.81,0.34,10.45,44.55
111年 1月,雲林縣,    ...,27.8,43.2,1.8,0.36,11.32,47.15
111年 1月,南投縣,35.4,20.1,35.9,1.74,0.36,15.36,49.71
111年 1月,彰化縣,41.9,19.1,34.9,1.78,0.34,12.82,45.66
111年 1月,苗栗縣,19.5,14.8,21.4,1.6,0.29,9.91,43.56
111年 1月,新竹縣,23.1,11.9,20.6,0.97,0.26,8.11,42.92
111年 1月,宜蘭縣,18.1,9.1,15,1.36,0.25,6.41,43.48
111年 1月,高雄市,97.8,28.1,51.1,2.2,0.44,18.97,56.23
111年 1月,臺南市,84.8,27.6,43.2,1.69,0.36,13.51,50.17
111年 1月,臺中市,60.2,14.5,27.1,1.43,0.35,13.57,42.43
111年 1月,桃園市,29.1,14.9,20.7,1.57,0.34,13.52,42.54
111年 1月,臺北市,22.4,8.9,20.4,1.02,0.39,16.49,40.43
111年 1月,新北市,17.5,11.7,21.4,0.94,0.34,12.48,42.54
111年 1月,總計,40.3,17,30.8,1.5,0.35,12.81,46.95
110年 12月,連江縣,    ...,21.4,39.7,1.57,0.3,7.63,53.29
